"","True Model Number","True Model Variables","Model Error","Sample Size","Repetition","True Model Min GCV","True Model Bandwidth","Best Model Number","Best Model Variables","Best Model GCV","Best Model Bandwidth","Best Model = True Model"
"22","2","non-stationary, stationary, stationary","2.62060277071316","100","2","6.06111037355353","13","2","non-stationary, stationary, stationary","6.06111037355353","13","TRUE"
"23","2","non-stationary, stationary, stationary","2.54223793454701","100","3","6.31959190376701","44","2","non-stationary, stationary, stationary","6.31959190376701","44","TRUE"
"24","2","stationary, non-stationary, stationary","2.64098089573905","100","4","7.4194507749839","29","3",NA,"6.89259196311029","29","FALSE"
"25","2","non-stationary, stationary, stationary","2.60726869830047","100","5","7.36715249399423","9","2","non-stationary, stationary, stationary","7.36715249399423","9","TRUE"
"26","2","non-stationary, stationary, stationary","2.57385515784728","300","1","6.15680817982814","59","2","non-stationary, stationary, stationary","6.15680817982814","59","TRUE"
"27","2","non-stationary, stationary, stationary","2.45454732570409","300","2","5.82325297570223","59","2","non-stationary, stationary, stationary","5.82325297570223","59","TRUE"
"28","2","non-stationary, stationary, stationary","2.57967618476095","300","3","6.52264943388534","133","2","non-stationary, stationary, stationary","6.52264943388534","133","TRUE"
"29","2","non-stationary, stationary, stationary","2.52692790403652","300","4","5.74490104236119","89","2","non-stationary, stationary, stationary","5.74490104236119","89","TRUE"
"30","2","non-stationary, stationary, stationary","2.52059628513913","300","5","6.5392801827311","26","2","non-stationary, stationary, stationary","6.5392801827311","26","TRUE"
"31","2","non-stationary, stationary, stationary","2.51905590292998","500","1","6.23243019410789","148","2","non-stationary, stationary, stationary","6.23243019410789","148","TRUE"
"32","2","non-stationary, stationary, stationary","2.53386170731275","500","2","6.58983936132997","148","2","non-stationary, stationary, stationary","6.58983936132997","148","TRUE"
"33","2","non-stationary, stationary, stationary","2.47765665045497","500","3","6.58540709859654","99","2","non-stationary, stationary, stationary","6.58540709859654","99","TRUE"
"34","2","non-stationary, stationary, stationary","2.54495762275625","500","4","6.74818428764127","148","2","non-stationary, stationary, stationary","6.74818428764127","148","TRUE"
"35","2","non-stationary, stationary, stationary","2.53834274377977","500","5","7.23605660123301","99","2","non-stationary, stationary, stationary","7.23605660123301","99","TRUE"
"36","2","non-stationary, stationary, stationary","2.47667590940208","1000","1","5.83469682206744","197","2","non-stationary, stationary, stationary","5.83469682206744","197","TRUE"
"37","2","non-stationary, stationary, stationary","2.50425155682769","1000","2","6.68917951914301","87","2","non-stationary, stationary, stationary","6.68917951914301","87","TRUE"
"38","2","non-stationary, stationary, stationary","2.503567154638","1000","3","6.69843470898357","197","2","non-stationary, stationary, stationary","6.69843470898357","197","TRUE"
"39","2","non-stationary, stationary, stationary","2.51541265797114","1000","4","5.89787927995132","131","2","non-stationary, stationary, stationary","5.89787927995132","131","TRUE"
"40","2","non-stationary, stationary, stationary","2.49096122930234","1000","5","6.48365618708768","296","2","non-stationary, stationary, stationary","6.48365618708768","296","TRUE"
